Sample	CoveredSite	MSIsensor
TCGA-BJ-A18Z	1328	0.00
TCGA-BJ-A190	3130	0.03
TCGA-BJ-A191	1870	0.00
TCGA-BJ-A192	2114	0.05
TCGA-BJ-A28R	3007	0.07
TCGA-BJ-A28W	2695	0.11
TCGA-BJ-A28Z	1951	0.00
TCGA-BJ-A291	2135	0.00
TCGA-BJ-A3PR	2173	0.00
TCGA-BJ-A3PT	2438	0.00
TCGA-BJ-A3PU	2388	0.59
TCGA-BK-A0CB	1150	0.09
TCGA-BL-A0C8	2184	0.82
TCGA-BL-A13I	2300	0.61
TCGA-BL-A13J	2948	2.65
TCGA-BL-A3JM	1685	1.01
TCGA-BR-4183	1441	0.28
TCGA-BR-4184	1385	5.70
TCGA-BR-4187	1981	0.10
TCGA-BR-4188	1198	0.17
TCGA-BR-4191	1529	0.00
TCGA-BR-4201	1764	1.93
TCGA-BR-4253	2658	0.00
TCGA-BR-4255	1594	0.06
TCGA-BR-4256	1531	0.33
TCGA-BR-4257	1311	1.98
TCGA-BR-4267	2787	0.18
TCGA-BR-4279	2463	0.00
TCGA-BR-4280	1777	2.03
TCGA-BR-4292	2695	2.26
TCGA-BR-4294	2100	0.29
TCGA-BR-4357	2446	0.57
TCGA-BR-4363	967	10.75
TCGA-BR-4366	1081	8.60
TCGA-BR-4367	1383	4.41
TCGA-BR-4368	1223	11.45
TCGA-BR-4369	1258	10.02
TCGA-BR-4370	1059	13.13
TCGA-BR-6452	1294	3.25
TCGA-BR-6453	1436	0.00
TCGA-BR-6454	1209	0.00
TCGA-BR-6455	1510	0.20
TCGA-BR-6456	1317	0.00
TCGA-BR-6457	1623	0.00
TCGA-BR-6458	1598	0.00
TCGA-BR-6564	2601	0.08
TCGA-BR-6565	1652	0.00
TCGA-BR-6566	1844	1.68
TCGA-BR-6705	2748	0.62
TCGA-BR-6706	2533	1.14
TCGA-BR-6707	2859	1.22
TCGA-BR-6710	2474	2.43
TCGA-BR-6801	2675	0.11
TCGA-BR-6802	2883	0.42
TCGA-BR-6803	2101	0.05
TCGA-BR-6852	1673	2.39
TCGA-BS-A0T9	2330	0.00
TCGA-BS-A0TA	1578	1.39
TCGA-BS-A0TC	1298	1.23
TCGA-BS-A0TD	1515	1.58
TCGA-BS-A0TE	1442	3.19
TCGA-BS-A0TG	1304	0.00
TCGA-BS-A0TI	1530	0.85
TCGA-BS-A0TJ	1415	4.45
TCGA-BS-A0U7	1295	1.62
TCGA-BS-A0U8	1442	3.95
TCGA-BS-A0UF	1962	0.87
TCGA-BS-A0UJ	2417	0.12
TCGA-BS-A0UM	3955	9.71
TCGA-BS-A0UT	1417	0.07
TCGA-BS-A0UV	1544	1.68
TCGA-BT-A0S7	4146	1.06
TCGA-BT-A0YX	3025	0.89
TCGA-BT-A20N	2868	0.59
TCGA-BT-A20O	2750	0.07
TCGA-BT-A20P	1883	1.70
TCGA-BT-A20Q	2008	3.64
TCGA-BT-A20R	3170	0.00
TCGA-BT-A20T	2355	2.04
TCGA-BT-A20U	2543	2.36
TCGA-BT-A20W	1951	0.46
TCGA-BT-A20X	3095	0.65
TCGA-BT-A2LA	1287	8.24
TCGA-BT-A2LB	1768	1.92
TCGA-BT-A2LD	979	0.31
TCGA-BT-A3PH	2103	3.14
TCGA-BT-A3PJ	2398	0.00
TCGA-BT-A3PK	1902	0.00
TCGA-C4-A0F0	2569	0.54
TCGA-C4-A0F6	2831	2.97
TCGA-C5-A1BQ	1705	0.12
TCGA-C5-A2LS	2252	0.00
TCGA-C5-A2LX	2101	0.10
TCGA-C5-A2LZ	1569	0.00
TCGA-C5-A2M1	2578	0.00
TCGA-C5-A3HD	1818	0.00
TCGA-C5-A3HE	2125	0.71
TCGA-C5-A3HF	1485	0.00
TCGA-C5-A3HL	1538	0.07
TCGA-CD-5798	1565	0.83
TCGA-CD-5799	1510	3.97
TCGA-CD-5800	1773	1.24
TCGA-CD-5801	2046	0.05
TCGA-CD-5802	1548	3.36
TCGA-CD-5803	1554	2.51
TCGA-CD-5813	3245	0.59
TCGA-CE-A13K	1524	0.07
TCGA-CE-A27D	2130	5.26
TCGA-CF-A1HR	1190	0.25
TCGA-CF-A1HS	1727	2.37
TCGA-CF-A27C	2645	1.21
TCGA-CF-A3MF	1263	0.00
TCGA-CF-A3MG	1393	0.00
TCGA-CF-A3MH	1514	5.15
