Sample	CoveredSite	MSIsensorScore
TCGA-A6-3807-01A-01D-1459-10	496905	0.02
TCGA-A6-6781-01A-22D-1924-10	727916	17.26
TCGA-A6-A565-01A-31D-A28G-10	992482	0.00
TCGA-A6-A566-01A-11D-A28G-10	1068110	0.00
TCGA-A6-A567-01A-31D-A28G-10	1022237	0.08
TCGA-A6-A56B-01A-31D-A28G-10	997867	0.64
TCGA-A7-A0CE-01A-11D-A12L-09	713307	0.18
TCGA-A7-A13D-01A-13D-A12Q-09	851079	0.39
TCGA-A7-A26G-01A-21D-A167-09	862809	0.01
TCGA-A8-A075-01A-11D-A19H-09	907571	0.05
TCGA-A8-A07B-01A-11D-A19H-09	986420	0.21
TCGA-A8-A07I-01A-11D-A19H-09	984011	0.14
TCGA-A8-A08B-01A-11D-A19H-09	836741	0.15
TCGA-A8-A08L-01A-11D-A19H-09	824875	0.37
TCGA-A8-A08S-01A-11D-A19H-09	914935	0.38
TCGA-A8-A092-01A-11D-A19H-09	837113	0.84
TCGA-A8-A094-01A-11D-A19H-09	922595	0.01
TCGA-A8-A09I-01A-22D-A19H-09	875837	0.06
TCGA-A8-A09X-01A-11D-A19H-09	536005	0.00
TCGA-AA-3514-01A-02D-1554-10	740541	0.04
TCGA-AA-3516-01A-02D-1554-10	790194	21.73
TCGA-AA-3518-01A-02D-1525-10	445155	14.72
TCGA-AA-3529-01A-02D-1554-10	610126	0.01
TCGA-AA-3534-01A-01D-1525-10	368761	0.06
TCGA-AA-3664-01A-01D-1981-10	488432	0.16
TCGA-AA-3666-01A-02D-1981-10	674978	0.17
TCGA-AA-3685-01A-02D-1981-10	582181	0.02
TCGA-AA-3956-01A-02D-1981-10	609882	0.05
TCGA-AA-3994-01A-01D-1981-10	492909	0.14
TCGA-AA-A00N-01A-02D-A17O-10	479280	0.60
TCGA-AA-A00R-01A-01D-A126-10	498327	26.13
TCGA-AA-A01R-01A-21D-A17O-10	713545	9.18
TCGA-AA-A01S-01A-21D-A17O-10	551024	0.16
TCGA-AA-A01T-01A-21D-A17O-10	689950	0.41
TCGA-AA-A01V-01A-23D-A17O-10	528699	0.24
TCGA-AA-A02O-01A-21D-A17O-10	540606	0.37
TCGA-AA-A02Y-01A-43D-A17O-10	573296	0.39
TCGA-AA-A03F-01A-11D-A17O-10	464265	0.10
TCGA-AB-2906-03A-01D-0742-05	402764	0.04
TCGA-AB-2907-03A-01D-0742-05	604504	0.05
TCGA-AB-2963-03A-01D-0741-05	189105	0.01
TCGA-AB-2964-03A-01D-0741-05	232786	0.03
TCGA-AB-2965-03A-01D-0741-05	453572	0.03
TCGA-AB-2966-03A-01D-0741-05	195593	0.40
TCGA-AB-2967-03A-01D-0742-05	433002	0.00
TCGA-AB-2968-03A-01D-0741-05	720278	0.00
TCGA-AB-2970-03A-01D-0741-05	424332	0.01
TCGA-AB-2971-03A-01D-0741-05	398934	0.01
TCGA-AB-2972-03A-01D-0741-05	449705	0.04
TCGA-AB-2973-03A-01D-0742-05	504118	0.02
TCGA-AB-2974-03A-01D-0742-05	438951	0.19
TCGA-AB-2975-03A-01D-0739-09	363194	0.00
TCGA-AB-2976-03A-01D-0739-09	218187	0.00
TCGA-AB-2977-03A-01D-0742-05	223135	0.00
TCGA-AB-2978-03A-01D-0742-05	447705	0.01
TCGA-AB-2979-03A-01D-0742-05	409540	0.03
TCGA-AB-2980-03A-01D-0739-09	321196	0.24
TCGA-AB-2981-03A-01D-0742-05	261739	0.05
TCGA-AB-2983-03A-01D-0742-05	371977	0.04
TCGA-AB-2984-03A-01D-0739-09	28284	2.05
TCGA-AB-2985-03A-01D-0742-05	561852	0.01
TCGA-AB-2986-03A-01D-0739-09	499502	0.04
TCGA-AB-2987-03A-01D-0742-05	345705	0.01
